=======================================================================
Expedition PCB - Pinnacle - Version EXP2005.1_060615.00 2005.1
=======================================================================

RELOAD CELLS

Job Directory:  C:\Mentor_proj\408\PCB\


Design Units:(mm)

Replace Cell Log:   repCellLog32.txt

Tue Nov 30 17:55:50 2021

Reference Designator            Cell Name                         New Cell Name
===============================================================================


---------------  RELOAD CELLS  Tue Nov 30 17:55:50 2021  ---------------


C406                            CAPC1608X90N                      CAPC1608X90N                    
C306                            CAPC2012X135N                     CAPC2012X135N                   
C505                            CAPC1608X90N                      CAPC1608X90N                    
C771                            CAPC1608X90N                      CAPC1608X90N                    
C366                            CAPC1608X90N                      CAPC1608X90N                    
C462                            CAPC1005X55N                      CAPC1005X55N                    
C507                            CAPC1005X55N                      CAPC1005X55N                    
C247                            CAPC1005X55N                      CAPC1005X55N                    
C506                            CAPC1608X90N                      CAPC1608X90N                    
C767                            CAPC1005X55N                      CAPC1005X55N                    
C503                            CAPC2012X135N                     CAPC2012X135N                   
C241                            CAPC1005X55N                      CAPC1005X55N                    
C765                            CAPC1005X55N                      CAPC1005X55N                    
C304                            CAPC2012X135N                     CAPC2012X135N                   
DA504                           SOT95P280X145-5N                  SOT95P280X145-5N                
DA306                           SOT95P280X145-5N                  SOT95P280X145-5N                
C674                            CAPC2012X135N                     CAPC2012X135N                   
DA505                           SOT95P280X145-5N                  SOT95P280X145-5N                
C245                            CAPC1005X55N                      CAPC1005X55N                    
C265                            CAPC1005X55N                      CAPC1005X55N                    
C463                            CAPC1005X55N                      CAPC1005X55N                    
C568                            CAPC2012X135N                     CAPC2012X135N                   
C268                            CAPC2012X135N                     CAPC2012X135N                   
C504                            CAPC1005X55N                      CAPC1005X55N                    
C667                            CAPC1005X55N                      CAPC1005X55N                    
C465                            CAPC1005X55N                      CAPC1005X55N                    
C502                            CAPC2012X135N                     CAPC2012X135N                   
C501                            CAPC1005X55N                      CAPC1005X55N                    
C201                            CAPC2012X135N                     CAPC2012X135N                   
C205                            CAPC1005X55N                      CAPC1005X55N                    
C669                            CAPC1005X55N                      CAPC1005X55N                    
C663                            CAPC1005X55N                      CAPC1005X55N                    
C361                            CAPC1608X90N                      CAPC1608X90N                    
DA501                           SIL0008E                          SIL0008E                        
C308                            CAPC2012X135N                     CAPC2012X135N                   
C273                            CAPC1005X55N                      CAPC1005X55N                    
C365                            CAPC1005X55N                      CAPC1005X55N                    
DA502                           SOT95P280X145-5N                  SOT95P280X145-5N                
C204                            CAPC2012X135N                     CAPC2012X135N                   
C509                            CAPC1005X55N                      CAPC1005X55N                    
C411                            CAPC1005X55N                      CAPC1005X55N                    
C209                            CAPC1005X55N                      CAPC1005X55N                    
C510                            CAPC1005X55N                      CAPC1005X55N                    
C307                            CAPC2012X135N                     CAPC2012X135N                   
C672                            CAPC1005X55N                      CAPC1005X55N                    
C508                            CAPC1005X55N                      CAPC1005X55N                    
C407                            CAPC1005X55N                      CAPC1005X55N                    
C661                            CAPC1608X90N                      CAPC1608X90N                    
C610                            CAPC1005X55N                      CAPC1005X55N                    
C248                            CAPC1005X55N                      CAPC1005X55N                    
C609                            CAPC1005X55N                      CAPC1005X55N                    
